league,split,date,week,game,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,result
LCK,2018-2,43263.98007,1.2,1,Blue,Team,Team,Kingzone DragonX, ,Graves,Vladimir,Shen,Tahm Kench,Morgana,1
LCK,2018-2,43263.98007,1.2,1,Red,Team,Team,Gen.G, ,Taliyah,Irelia,Lucian,Camille,Gangplank,0
LCK,2018-2,43264.03627,1.2,2,Blue,Top,CuVee,Gen.G,Cho'gath,Zoe,Irelia,Lucian,Jayce,Ornn,1
LCK,2018-2,43264.03627,1.2,2,Blue,Jungle,Haru,Gen.G,Camille,Zoe,Irelia,Lucian,Jayce,Ornn,1
LCK,2018-2,43264.03627,1.2,2,Blue,Middle,Fly,Gen.G,Lulu,Zoe,Irelia,Lucian,Jayce,Ornn,1
LCK,2018-2,43264.03627,1.2,2,Blue,ADC,Ruler,Gen.G,Ezreal,Zoe,Irelia,Lucian,Jayce,Ornn,1
LCK,2018-2,43264.03627,1.2,2,Blue,Support,CoreJJ,Gen.G,Tahm Kench,Zoe,Irelia,Lucian,Jayce,Ornn,1
LCK,2018-2,43264.03627,1.2,2,Red,Top,Khan,Kingzone DragonX,Darius,Graves,Taliyah,Master Yi,Kog'Maw,Kai'Sa,0
LCK,2018-2,43264.03627,1.2,2,Red,Jungle,Cuzz,Kingzone DragonX,Nocturne,Graves,Taliyah,Master Yi,Kog'Maw,Kai'Sa,0
LCK,2018-2,43264.03627,1.2,2,Red,Middle,Bdd,Kingzone DragonX,Aurelion Sol,Graves,Taliyah,Master Yi,Kog'Maw,Kai'Sa,0
LCK,2018-2,43264.03627,1.2,2,Red,ADC,PraY,Kingzone DragonX,Mordekaiser,Graves,Taliyah,Master Yi,Kog'Maw,Kai'Sa,0
LCK,2018-2,43264.03627,1.2,2,Red,Support,GorillA,Kingzone DragonX,Shen,Graves,Taliyah,Master Yi,Kog'Maw,Kai'Sa,0
LCK,2018-2,43264.03627,1.2,2,Blue,Team,Team,Gen.G, ,Zoe,Irelia,Lucian,Jayce,Ornn,1
LCK,2018-2,43264.03627,1.2,2,Red,Team,Team,Kingzone DragonX, ,Graves,Taliyah,Master Yi,Kog'Maw,Kai'Sa,0
LCK,2018-2,43264.06755,1.2,3,Blue,Top,Khan,Kingzone DragonX,Vladimir,Lulu,Master Yi,Camille,Karma,Lissandra,0
LCK,2018-2,43264.06755,1.2,3,Blue,Jungle,Cuzz,Kingzone DragonX,Graves,Lulu,Master Yi,Camille,Karma,Lissandra,0
LCK,2018-2,43264.06755,1.2,3,Blue,Middle,Bdd,Kingzone DragonX,Karthus,Lulu,Master Yi,Camille,Karma,Lissandra,0
LCK,2018-2,43264.06755,1.2,3,Blue,ADC,PraY,Kingzone DragonX,Mordekaiser,Lulu,Master Yi,Camille,Karma,Lissandra,0
LCK,2018-2,43264.06755,1.2,3,Blue,Support,GorillA,Kingzone DragonX,Alistar,Lulu,Master Yi,Camille,Karma,Lissandra,0
LCK,2018-2,43264.06755,1.2,3,Red,Top,CuVee,Gen.G,Gangplank,Taliyah,Zoe,Irelia,Jayce,Darius,1
LCK,2018-2,43264.06755,1.2,3,Red,Jungle,Haru,Gen.G,Xin Zhao,Taliyah,Zoe,Irelia,Jayce,Darius,1
LCK,2018-2,43264.06755,1.2,3,Red,Middle,Fly,Gen.G,Aurelion Sol,Taliyah,Zoe,Irelia,Jayce,Darius,1
LCK,2018-2,43264.06755,1.2,3,Red,ADC,Ruler,Gen.G,Ezreal,Taliyah,Zoe,Irelia,Jayce,Darius,1
LCK,2018-2,43264.06755,1.2,3,Red,Support,CoreJJ,Gen.G,Tahm Kench,Taliyah,Zoe,Irelia,Jayce,Darius,1
LCK,2018-2,43264.06755,1.2,3,Blue,Team,Team,Kingzone DragonX, ,Lulu,Master Yi,Camille,Karma,Lissandra,0
LCK,2018-2,43264.06755,1.2,3,Red,Team,Team,Gen.G, ,Taliyah,Zoe,Irelia,Jayce,Darius,1
LCK,2018-2,43264.1022,1.2,1,Blue,Top,Kiin,Afreeca Freecs,Aatrox,Morgana,Ezreal,Irelia,Camille,Xin Zhao,1
LCK,2018-2,43264.1022,1.2,1,Blue,Jungle,Spirit,Afreeca Freecs,Nocturne,Morgana,Ezreal,Irelia,Camille,Xin Zhao,1
LCK,2018-2,43264.1022,1.2,1,Blue,Middle,Kuro,Afreeca Freecs,LeBlanc,Morgana,Ezreal,Irelia,Camille,Xin Zhao,1
LCK,2018-2,43264.1022,1.2,1,Blue,ADC,Aiming,Afreeca Freecs,Vladimir,Morgana,Ezreal,Irelia,Camille,Xin Zhao,1
LCK,2018-2,43264.1022,1.2,1,Blue,Support,TusiN,Afreeca Freecs,Shen,Morgana,Ezreal,Irelia,Camille,Xin Zhao,1
LCK,2018-2,43264.1022,1.2,1,Red,Top,Thal,SK Telecom T1,Darius,Taliyah,Taric,Karthus,Jayce,Zoe,0
LCK,2018-2,43264.1022,1.2,1,Red,Jungle,Blank,SK Telecom T1,Skarner,Taliyah,Taric,Karthus,Jayce,Zoe,0
LCK,2018-2,43264.1022,1.2,1,Red,Middle,Faker,SK Telecom T1,Yasuo,Taliyah,Taric,Karthus,Jayce,Zoe,0
LCK,2018-2,43264.1022,1.2,1,Red,ADC,Bang,SK Telecom T1,Lulu,Taliyah,Taric,Karthus,Jayce,Zoe,0
LCK,2018-2,43264.1022,1.2,1,Red,Support,Wolf,SK Telecom T1,Alistar,Taliyah,Taric,Karthus,Jayce,Zoe,0
LCK,2018-2,43264.1022,1.2,1,Blue,Team,Team,Afreeca Freecs, ,Morgana,Ezreal,Irelia,Camille,Xin Zhao,1
LCK,2018-2,43264.1022,1.2,1,Red,Team,Team,SK Telecom T1, ,Taliyah,Taric,Karthus,Jayce,Zoe,0
LCK,2018-2,43264.15736,1.2,2,Blue,Top,Thal,SK Telecom T1,Gangplank,Nocturne,Zoe,Taliyah,Alistar,Fiddlesticks,0
LCK,2018-2,43264.15736,1.2,2,Blue,Jungle,Blank,SK Telecom T1,Skarner,Nocturne,Zoe,Taliyah,Alistar,Fiddlesticks,0
LCK,2018-2,43264.15736,1.2,2,Blue,Middle,Faker,SK Telecom T1,Darius,Nocturne,Zoe,Taliyah,Alistar,Fiddlesticks,0
LCK,2018-2,43264.15736,1.2,2,Blue,ADC,Bang,SK Telecom T1,Lulu,Nocturne,Zoe,Taliyah,Alistar,Fiddlesticks,0
LCK,2018-2,43264.15736,1.2,2,Blue,Support,Wolf,SK Telecom T1,Shen,Nocturne,Zoe,Taliyah,Alistar,Fiddlesticks,0
LCK,2018-2,43264.15736,1.2,2,Red,Top,Kiin,Afreeca Freecs,Aatrox,Irelia,Ezreal,Camille,Renekton,LeBlanc,1
LCK,2018-2,43264.15736,1.2,2,Red,Jungle,Spirit,Afreeca Freecs,Trundle,Irelia,Ezreal,Camille,Renekton,LeBlanc,1
LCK,2018-2,43264.15736,1.2,2,Red,Middle,Kuro,Afreeca Freecs,Vladimir,Irelia,Ezreal,Camille,Renekton,LeBlanc,1
