league,split,week,game,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,result
LPL,2018-2,1,3,Blue,Team,Team,Edward Gaming, ,Karthus,Vladimir,Irelia,Singed,Alistar,1
LPL,2018-2,1,3,Red,Team,Team,Funplus Phoenix, ,Mordekaiser,Darius,Shen,Rakan,Morgana,0
LPL,2018-2,1,1,Blue,Team,Team,Invictus Gaming, ,Irelia,Graves,Taliyah,Dr. Mundo,Nocturne,1
LPL,2018-2,1,1,Red,Team,Team,LGD Gaming, ,Alistar,Camille,Vladimir,Aatrox,Braum,0
LPL,2018-2,1,2,Blue,Team,Team,LGD Gaming, ,Alistar,Camille,Lulu,Cassiopeia,Zoe,0
LPL,2018-2,1,2,Red,Team,Team,Invictus Gaming, ,Taliyah,Graves,Irelia,Thresh,Morgana,1
LPL,2018-2,1,1,Blue,Team,Team,Invictus Gaming, ,Graves,Taliyah,Irelia,Soraka,Nunu,1
LPL,2018-2,1,1,Red,Team,Team,JD Gaming, ,Draven,Lucian,Zoe,Kog'Maw,Yasuo,0
LPL,2018-2,1,2,Blue,Team,Team,Invictus Gaming, ,Graves,Taliyah,Irelia,Xin Zhao,Lee Sin,0
LPL,2018-2,1,2,Red,Team,Team,JD Gaming, ,Draven,Lucian,Kai'sa,Yasuo,Caitlyn,1
LPL,2018-2,1,1,Blue,Team,Team,Snake Esports, ,Camille,Master Yi,Taliyah,Kai'Sa,Xayah,0
LPL,2018-2,1,1,Red,Team,Team,OMG, ,Graves,Lucian,Draven,Trundle,Singed,1
LPL,2018-2,1,2,Blue,Team,Team,Snake Esports, ,Zoe,Yasuo,Taliyah,Xayah,Dr. Mundo,1
LPL,2018-2,1,2,Red,Team,Team,OMG, ,Graves,Lucian,Camille,Trundle,Vladimir,0
LPL,2018-2,1,3,Blue,Team,Team,Snake Esports, ,Zoe,Yasuo,Taliyah,Irelia,LeBlanc,0
LPL,2018-2,1,3,Red,Team,Team,OMG, ,Graves,Camille,Draven,Gangplank,Xin Zhao,1
LPL,2018-2,1,1,Blue,Team,Team,JD Gaming, ,Nocturne,Taliyah,Yasuo,Vladimir,Ryze,0
LPL,2018-2,1,1,Red,Team,Team,Royal Never Give Up, ,Fiddlesticks,Camille,Graves,Singed,Jax,1
LPL,2018-2,1,2,Blue,Team,Team,Royal Never Give Up, ,Nocturne,Fiddlesticks,Zoe,Irelia,Aatrox,0
LPL,2018-2,1,2,Red,Team,Team,JD Gaming, ,Shen,Kai'sa,Tahm Kench,Singed,Kayle,1
LPL,2018-2,1,3,Blue,Team,Team,Royal Never Give Up, ,Camille,Alistar,Zoe,Jax,Dr. Mundo,0
LPL,2018-2,1,3,Red,Team,Team,JD Gaming, ,Kai'Sa,Shen,Nocturne,Xin Zhao,Taliyah,1
LPL,2018-2,1,1,Blue,Team,Team,Suning Gaming, ,Camille,Zoe,Morgana,Swain,Kai'Sa,1
LPL,2018-2,1,1,Red,Team,Team,Vici Gaming, ,Lulu,Lucian,Rakan,Jax,Renekton,0
LPL,2018-2,1,2,Blue,Team,Team,Suning Gaming, ,Camille,Zoe,Morgana,Shen,Ornn,0
LPL,2018-2,1,2,Red,Team,Team,Vici Gaming, ,Taliyah,Lulu,Lucian,Singed,Swain,1
LPL,2018-2,1,3,Blue,Team,Team,Vici Gaming, ,Lulu,Lucian,Taliyah,Jax,Ornn,0
LPL,2018-2,1,3,Red,Team,Team,Suning Gaming, ,Nocturne,Zoe,Camille,Xin Zhao,Nidalee,1
LPL,2018-2,1,1,Blue,Team,Team,Team WE, ,Mordekaiser,Darius,Vladimir,Aatrox,Singed,1
LPL,2018-2,1,1,Red,Team,Team,Snake Esports, ,Lulu,Taliyah,Camille,Morgana,Alistar,0
LPL,2018-2,1,2,Blue,Team,Team,Team WE, ,Mordekaiser,Darius,Vladimir,Aatrox,Fiora,0
LPL,2018-2,1,2,Red,Team,Team,Snake Esports, ,Lulu,Taliyah,Lucian,Draven,Rakan,1
LPL,2018-2,1,3,Blue,Team,Team,Snake Esports, ,Taliyah,Lucian,Karthus,Braum,Morgana,1
LPL,2018-2,1,3,Red,Team,Team,Team WE, ,Mordekaiser,Graves,Taric,Ryze,Darius,0
LPL,2018-2,1,1,Blue,Team,Team,Topsports Gaming, ,Taric,Vladimir,Draven,Nocturne,Xin Zhao,1
LPL,2018-2,1,1,Red,Team,Team,Team WE, ,Taliyah,Camille,Kennen,Fiddlesticks,Renekton,0
LPL,2018-2,1,2,Blue,Team,Team,Topsports Gaming, ,Vladimir,Yasuo,Lucian,Morgana,Ornn,1
LPL,2018-2,1,2,Red,Team,Team,Team WE, ,Taliyah,Camille,Zoe,Aatrox,Ryze,0
LPL,2018-2,1,1,Blue,Team,Team,Topsports Gaming, ,Vladimir,Kai'sa,Fiddlesticks,Lulu,Ryze,0
LPL,2018-2,1,1,Red,Team,Team,Rogue Warriors, ,Darius,Taliyah,Heimerdinger,Morgana,Rakan,1
