league,split,week,game,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,result
LPL,2018-2,5,3,Red,Support,Pyl,LGD Gaming,Morgana,Aatrox,Swain,Zoe,Trundle,Fiddlesticks,1
LPL,2018-2,5,3,Red,Top,Jinoo,LGD Gaming,Camille,Aatrox,Swain,Zoe,Trundle,Fiddlesticks,1
LPL,2018-2,5,1,Blue,ADC,Zz1tai,Royal Never Give Up,Darius,Lulu,Gangplank,Nocturne,Galio,Kennen,0
LPL,2018-2,5,1,Blue,Jungle,Mlxg,Royal Never Give Up,Xin Zhao,Lulu,Gangplank,Nocturne,Galio,Kennen,0
LPL,2018-2,5,1,Blue,Middle,xiaohu,Royal Never Give Up,Zoe,Lulu,Gangplank,Nocturne,Galio,Kennen,0
LPL,2018-2,5,1,Blue,Support,Ming,Royal Never Give Up,Rakan,Lulu,Gangplank,Nocturne,Galio,Kennen,0
LPL,2018-2,5,1,Blue,Top,LetMe,Royal Never Give Up,Cho'gath,Lulu,Gangplank,Nocturne,Galio,Kennen,0
LPL,2018-2,5,1,Red,ADC,Lwx,Funplus Phoenix,Varus,Aatrox,Vladimir,Swain,Gnar,Xayah,1
LPL,2018-2,5,1,Red,Jungle,Alex,Funplus Phoenix,Taliyah,Aatrox,Vladimir,Swain,Gnar,Xayah,1
LPL,2018-2,5,1,Red,Middle,Cool,Funplus Phoenix,Talon,Aatrox,Vladimir,Swain,Gnar,Xayah,1
LPL,2018-2,5,1,Red,Support,Crisp,Funplus Phoenix,Tahm Kench,Aatrox,Vladimir,Swain,Gnar,Xayah,1
LPL,2018-2,5,1,Red,Top,GimGoon,Funplus Phoenix,Kled,Aatrox,Vladimir,Swain,Gnar,Xayah,1
LPL,2018-2,5,2,Blue,ADC,Able,Royal Never Give Up,Draven,Lulu,Taliyah,Varus,Gangplank,Galio,1
LPL,2018-2,5,2,Blue,Jungle,Mlxg,Royal Never Give Up,Olaf,Lulu,Taliyah,Varus,Gangplank,Galio,1
LPL,2018-2,5,2,Blue,Middle,xiaohu,Royal Never Give Up,Zoe,Lulu,Taliyah,Varus,Gangplank,Galio,1
LPL,2018-2,5,2,Blue,Support,Ming,Royal Never Give Up,Morgana,Lulu,Taliyah,Varus,Gangplank,Galio,1
LPL,2018-2,5,2,Blue,Top,Zz1tai,Royal Never Give Up,Ornn,Lulu,Taliyah,Varus,Gangplank,Galio,1
LPL,2018-2,5,2,Red,ADC,Lwx,Funplus Phoenix,Xayah,Aatrox,Vladimir,Swain,Kindred,Kai'Sa,0
LPL,2018-2,5,2,Red,Jungle,Alex,Funplus Phoenix,Nocturne,Aatrox,Vladimir,Swain,Kindred,Kai'Sa,0
LPL,2018-2,5,2,Red,Middle,Cool,Funplus Phoenix,Malzahar,Aatrox,Vladimir,Swain,Kindred,Kai'Sa,0
LPL,2018-2,5,2,Red,Support,Crisp,Funplus Phoenix,Rakan,Aatrox,Vladimir,Swain,Kindred,Kai'Sa,0
LPL,2018-2,5,2,Red,Top,GimGoon,Funplus Phoenix,Singed,Aatrox,Vladimir,Swain,Kindred,Kai'Sa,0
LPL,2018-2,5,3,Blue,ADC,Able,Royal Never Give Up,Draven,Varus,Taliyah,Nocturne,Lulu,Gragas,0
LPL,2018-2,5,3,Blue,Jungle,Mlxg,Royal Never Give Up,Camille,Varus,Taliyah,Nocturne,Lulu,Gragas,0
LPL,2018-2,5,3,Blue,Middle,xiaohu,Royal Never Give Up,Galio,Varus,Taliyah,Nocturne,Lulu,Gragas,0
LPL,2018-2,5,3,Blue,Support,Ming,Royal Never Give Up,Morgana,Varus,Taliyah,Nocturne,Lulu,Gragas,0
LPL,2018-2,5,3,Blue,Top,LetMe,Royal Never Give Up,Kennen,Varus,Taliyah,Nocturne,Lulu,Gragas,0
LPL,2018-2,5,3,Red,ADC,Lwx,Funplus Phoenix,Xayah,Aatrox,Swain,Zoe,Kai'Sa,Shen,1
LPL,2018-2,5,3,Red,Jungle,Alex,Funplus Phoenix,Kindred,Aatrox,Swain,Zoe,Kai'Sa,Shen,1
LPL,2018-2,5,3,Red,Middle,Cool,Funplus Phoenix,Vladimir,Aatrox,Swain,Zoe,Kai'Sa,Shen,1
LPL,2018-2,5,3,Red,Support,Crisp,Funplus Phoenix,Rakan,Aatrox,Swain,Zoe,Kai'Sa,Shen,1
LPL,2018-2,5,3,Red,Top,GimGoon,Funplus Phoenix,Gangplank,Aatrox,Swain,Zoe,Kai'Sa,Shen,1
LPL,2018-2,5,1,Blue,ADC,Zz1tai,Royal Never Give Up,Mordekaiser,Kled,Lulu,Kindred,Xayah,Talon,0
LPL,2018-2,5,1,Blue,Jungle,Mlxg,Royal Never Give Up,Trundle,Kled,Lulu,Kindred,Xayah,Talon,0
LPL,2018-2,5,1,Blue,Middle,xiaohu,Royal Never Give Up,Zoe,Kled,Lulu,Kindred,Xayah,Talon,0
LPL,2018-2,5,1,Blue,Support,Ming,Royal Never Give Up,Braum,Kled,Lulu,Kindred,Xayah,Talon,0
LPL,2018-2,5,1,Blue,Top,LetMe,Royal Never Give Up,Darius,Kled,Lulu,Kindred,Xayah,Talon,0
LPL,2018-2,5,1,Red,ADC,SmLz,Rogue Warriors,Lucian,Aatrox,Swain,Taliyah,Shen,Alistar,1
LPL,2018-2,5,1,Red,Jungle,Flawless,Rogue Warriors,Nocturne,Aatrox,Swain,Taliyah,Shen,Alistar,1
LPL,2018-2,5,1,Red,Middle,Doinb,Rogue Warriors,Ryze,Aatrox,Swain,Taliyah,Shen,Alistar,1
LPL,2018-2,5,1,Red,Support,killua,Rogue Warriors,Rakan,Aatrox,Swain,Taliyah,Shen,Alistar,1
LPL,2018-2,5,1,Red,Top,Mouse,Rogue Warriors,Kennen,Aatrox,Swain,Taliyah,Shen,Alistar,1
LPL,2018-2,5,2,Blue,ADC,xiaohu,Royal Never Give Up,Ryze,Kled,Lulu,Camille,Xayah,Varus,0
LPL,2018-2,5,2,Blue,Jungle,Karsa,Royal Never Give Up,Kindred,Kled,Lulu,Camille,Xayah,Varus,0
LPL,2018-2,5,2,Blue,Middle,LetMe,Royal Never Give Up,Ornn,Kled,Lulu,Camille,Xayah,Varus,0
LPL,2018-2,5,2,Blue,Support,Ming,Royal Never Give Up,Shen,Kled,Lulu,Camille,Xayah,Varus,0
LPL,2018-2,5,2,Blue,Top,Zz1tai,Royal Never Give Up,Darius,Kled,Lulu,Camille,Xayah,Varus,0
LPL,2018-2,5,2,Red,ADC,SmLz,Rogue Warriors,Lucian,Aatrox,Swain,Taliyah,Gnar,Zoe,1
LPL,2018-2,5,2,Red,Jungle,Flawless,Rogue Warriors,Nocturne,Aatrox,Swain,Taliyah,Gnar,Zoe,1
LPL,2018-2,5,2,Red,Middle,Doinb,Rogue Warriors,Orianna,Aatrox,Swain,Taliyah,Gnar,Zoe,1
LPL,2018-2,5,2,Red,Support,killua,Rogue Warriors,Rakan,Aatrox,Swain,Taliyah,Gnar,Zoe,1
LPL,2018-2,5,2,Red,Top,Mouse,Rogue Warriors,Dr. Mundo,Aatrox,Swain,Taliyah,Gnar,Zoe,1
LPL,2018-2,5,1,Blue,ADC,iBOY,Edward Gaming,Morgana,Shen,Sejuani,Lissandra,Xayah,Ornn,1
LPL,2018-2,5,1,Blue,Jungle,Haro,Edward Gaming,Taliyah,Shen,Sejuani,Lissandra,Xayah,Ornn,1
LPL,2018-2,5,1,Blue,Middle,Scout,Edward Gaming,Talon,Shen,Sejuani,Lissandra,Xayah,Ornn,1
LPL,2018-2,5,1,Blue,Support,meiko,Edward Gaming,Tahm Kench,Shen,Sejuani,Lissandra,Xayah,Ornn,1
LPL,2018-2,5,1,Blue,Top,ray,Edward Gaming,Kennen,Shen,Sejuani,Lissandra,Xayah,Ornn,1
LPL,2018-2,5,1,Red,ADC,Fury,Suning Gaming,Vladimir,Galio,Zoe,Aatrox,Lucian,Ashe,0
LPL,2018-2,5,1,Red,Jungle,H4cker,Suning Gaming,Nocturne,Galio,Zoe,Aatrox,Lucian,Ashe,0
LPL,2018-2,5,1,Red,Middle,Angel,Suning Gaming,Swain,Galio,Zoe,Aatrox,Lucian,Ashe,0
LPL,2018-2,5,1,Red,Support,Yoon,Suning Gaming,Rakan,Galio,Zoe,Aatrox,Lucian,Ashe,0
LPL,2018-2,5,1,Red,Top,XiaoAL,Suning Gaming,Camille,Galio,Zoe,Aatrox,Lucian,Ashe,0
LPL,2018-2,5,2,Blue,ADC,Fury,Suning Gaming,Swain,Talon,Galio,Zoe,Morgana,Lucian,0
LPL,2018-2,5,2,Blue,Jungle,H4cker,Suning Gaming,Graves,Talon,Galio,Zoe,Morgana,Lucian,0
LPL,2018-2,5,2,Blue,Middle,Angel,Suning Gaming,Irelia,Talon,Galio,Zoe,Morgana,Lucian,0
LPL,2018-2,5,2,Blue,Support,Yoon,Suning Gaming,Pyke,Talon,Galio,Zoe,Morgana,Lucian,0
LPL,2018-2,5,2,Blue,Top,XiaoAL,Suning Gaming,Dr. Mundo,Talon,Galio,Zoe,Morgana,Lucian,0
LPL,2018-2,5,2,Red,ADC,iBOY,Edward Gaming,Orianna,Aatrox,Taliyah,Sejuani,Darius,Kennen,1
LPL,2018-2,5,2,Red,Jungle,Haro,Edward Gaming,Kindred,Aatrox,Taliyah,Sejuani,Darius,Kennen,1
LPL,2018-2,5,2,Red,Middle,Scout,Edward Gaming,Yasuo,Aatrox,Taliyah,Sejuani,Darius,Kennen,1
LPL,2018-2,5,2,Red,Support,meiko,Edward Gaming,Shen,Aatrox,Taliyah,Sejuani,Darius,Kennen,1
LPL,2018-2,5,2,Red,Top,ray,Edward Gaming,Ornn,Aatrox,Taliyah,Sejuani,Darius,Kennen,1
LPL,2018-2,5,1,Blue,ADC,Fury,Suning Gaming,Ashe,Yasuo,Rakan,Zoe,Pyke,Shen,0
LPL,2018-2,5,1,Blue,Jungle,H4cker,Suning Gaming,Nocturne,Yasuo,Rakan,Zoe,Pyke,Shen,0
LPL,2018-2,5,1,Blue,Middle,Angel,Suning Gaming,Ryze,Yasuo,Rakan,Zoe,Pyke,Shen,0
LPL,2018-2,5,1,Blue,Support,Yoon,Suning Gaming,Tahm Kench,Yasuo,Rakan,Zoe,Pyke,Shen,0
LPL,2018-2,5,1,Blue,Top,XiaoAL,Suning Gaming,Camille,Yasuo,Rakan,Zoe,Pyke,Shen,0
LPL,2018-2,5,1,Red,ADC,XuanXuanPi,OMG,Kai'Sa,Aatrox,Swain,Taliyah,Kled,Dr. Mundo,1
LPL,2018-2,5,1,Red,Jungle,Mountain,OMG,Sejuani,Aatrox,Swain,Taliyah,Kled,Dr. Mundo,1
LPL,2018-2,5,1,Red,Middle,icon,OMG,Lissandra,Aatrox,Swain,Taliyah,Kled,Dr. Mundo,1
LPL,2018-2,5,1,Red,Support,Five,OMG,Alistar,Aatrox,Swain,Taliyah,Kled,Dr. Mundo,1
